Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,158.75,-77.47,90,top
C2,10uF,C_0603_1608Metric,120.51,-74.041,180,top
C3,10uF,C_0603_1608Metric,119.888,-82.55,-90,top
C4,10uF,C_0603_1608Metric,134.62,-74.93,-90,top
C5,10uF,C_0603_1608Metric,132.842,-77.47,90,top
C6,10uF,C_0603_1608Metric,169.6775,-78.74,90,top
C7,10uF,C_0603_1608Metric,163.3275,-79.375,-90,top
C8,2.2uF,C_0603_1608Metric,125.73,-73.66,0,top
C9,2.2uF,C_0603_1608Metric,120.015,-77.089,180,top
C10,2.2uF,C_0603_1608Metric,171.5825,-79.375,90,top
C11,2.2uF,C_0603_1608Metric,133.35,-67.31,0,top
C12,2.2uF,C_0603_1608Metric,136.525,-69.215,-90,top
C13,2.2uF,C_0603_1608Metric,123.19,-67.31,180,top
C14,2.2uF,C_0603_1608Metric,120.015,-69.85,90,top
C15,100nF,C_0402_1005Metric,160.02,-72.39,0,top
C16,100nF,C_0402_1005Metric,155.575,-77.597,90,top
C17,100nF,C_0402_1005Metric,144.145,-75.565,-90,top
C18,100nF,C_0402_1005Metric,142.875,-76.2,90,top
C19,100nF,C_0402_1005Metric,120.51,-75.565,180,top
C20,100nF,C_0402_1005Metric,121.285,-81.915,-90,top
C21,100nF,C_0402_1005Metric,131.445,-74.93,90,top
C22,100nF,C_0402_1005Metric,131.445,-77.47,90,top
C23,22nF,C_0402_1005Metric,156.845,-75.565,-90,top
C24,22nF,C_0402_1005Metric,152.4,-85.09,90,top
C25,22nF,C_0402_1005Metric,155.575,-79.629,90,top
C26,2.2nF,C_0805_2012Metric,111.76,-81.28,180,top
C27,2.2nF,C_0805_2012Metric,106.68,-81.28,0,top
C28,1nF,C_0402_1005Metric,155.575,-75.565,-90,top
FB1,GZ2012D601TF,L_0805_2012Metric,160.655,-77.47,-90,top
J2,BOARD,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,156.845,-87.503,0,top
J7,BTN,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,128.27,-87.503,0,top
R1,47K,R_0402_1005Metric,143.51,-72.39,180,top
R2,47K,R_0402_1005Metric,143.51,-73.66,180,top
R3,47K,R_0402_1005Metric,153.035,-69.85,180,top
R4,47K,R_0402_1005Metric,147.32,-69.85,180,top
R5,47K,R_0402_1005Metric,143.51,-69.85,180,top
R6,47K,R_0402_1005Metric,143.51,-71.12,0,top
R7,47K,R_0402_1005Metric,143.51,-78.105,0,top
R8,47K,R_0402_1005Metric,156.845,-68.58,90,top
R9,3K,R_0603_1608Metric,156.21,-73.66,180,top
R10,10K,R_0402_1005Metric,163.195,-85.725,0,top
R12,22,R_0402_1005Metric,143.51,-79.375,180,top
R13,22,R_0402_1005Metric,143.51,-81.915,180,top
R14,22,R_0402_1005Metric,143.51,-80.645,180,top
R15,22,R_0402_1005Metric,143.51,-83.185,180,top
R16,22,R_0402_1005Metric,148.59,-83.185,-90,top
R17,470,R_0402_1005Metric,120.015,-78.74,180,top
R18,470,R_0402_1005Metric,120.015,-80.01,180,top
R19,470,R_0402_1005Metric,122.555,-85.725,180,top
TP1,GND,TestPoint_Keystone_5000-5004_Miniature,104.775,-67.31,180,top
TP2,GND,TestPoint_Keystone_5000-5004_Miniature,171.45,-67.31,180,top
U1,CS8416-xZZ,TSSOP-28_4.4x9.7mm_P0.65mm,149.86,-76.2,90,top
U2,PCM5100,TSSOP-20_4.4x6.5mm_P0.65mm,126.365,-78.74,90,top
U3,SD6210A,SOT-23-6,166.5025,-79.375,270,top
U4,XC6206P332MR,SOT-23,133.35,-69.85,0,top
U5,XC6206P332MR,SOT-23,123.19,-69.85,180,top
U6,TCM809,SOT-23,159.385,-69.85,90,top
